Feature,VIF
VIX,2.183469546875495
CS,5.946851454054742
GDP,1.4369944726493618
IR,1.845736209630385
CPI,2.7332164967636303
Liquidity,3.3924696590203713
PUT/CALL,2.225844800621515
Crude Oil,2.0800053194251937
VIX_return,20.11051777312559
CS_return,17.20431681042122
IR_return,22.06124474931521
CPI_return,11.861912299051566
Liquidity_return,6.329170026553972
PUT/CALL_return,14.191982928604848
Crude_Oil_return,19.914949961626448
GDP_return,2.1216466912625926
VIX_log_return,20.094252833578423
CS_log_return,17.36003486357639
IR_log_return,22.087937919365572
CPI_log_return,11.806245550029374
Liquidity_log_return,6.302760875806396
PUT/CALL_log_return,13.853624767782296
Crude_Oil_log_return,19.969081969747922
GDP_log_return,1.9269441189086143
